Date,Stage,Days_diff,SR,SP,OR,OS,Block,ID,L,Th,TW,SW,SG,DIED,OSTRINA,Notes,,,Legend,
06-17-2019,Mid,70,Nanaimo,CEDAR,Nanaimo,Heron,B,CG52,26.54,2.95,3.64,,15,0,0,,,,,
08-12-2019,Final,126,Nanaimo,CEDAR,Nanaimo,Heron,B,CG97,25.97,2.46,3.61,1.95,18,0,0,,,,,
06-17-2019,Mid,70,Nanaimo,CEDAR,Nanaimo,Cedar,O,CG58,28.03,3.39,3.6,,3,0,0,,,,,
08-12-2019,Final,126,Nanaimo,CEDAR,Nanaimo,Cedar,O,CG58,27.88,3.72,3.59,1.92,4,0,0,,,,,
04-09-2019,Init,1,Nanaimo,CEDAR,Nanaimo,Heron,R,CG65,26.21,3.93,3.57,1.96,,0,0,,,,,
06-17-2019,Mid,70,Nanaimo,CEDAR,Nanaimo,Heron,B,CG97,26.22,2.08,3.56,,17,0,0,,,,,
04-09-2019,Init,1,Nanaimo,CEDAR,Nanaimo,Cedar,O,CG86,27.32,2.13,3.53,1.83,,0,0,,,,,
08-12-2019,Final,126,Nanaimo,CEDAR,Nanaimo,Cedar,O,CG78,27.12,3.37,3.51,1.94,5,0,0,,,,,
04-09-2019,Init,1,Nanaimo,CEDAR,Nanaimo,Heron,O,CG95,26.9,3.14,3.49,1.93,,0,0,,,,,
03-19-2019,Init,1,Nanaimo,CEDAR,Calvert,Kwak,R,CG08,26.69,3.17,3.47,1.91,,0,0,,,,,
08-12-2019,Final,126,Nanaimo,CEDAR,Nanaimo,Cedar,R,CG62,26.09,3.45,3.47,1.88,6,0,0,,,,,
06-17-2019,Mid,70,Nanaimo,CEDAR,Nanaimo,Cedar,O,CG78,27.26,3.26,3.45,,3,0,0,,,,,
06-17-2019,Mid,70,Nanaimo,CEDAR,Nanaimo,Heron,Y,CG50,26.67,3.23,3.43,,6,0,0,,,,,
06-17-2019,Mid,70,Nanaimo,CEDAR,Nanaimo,Cedar,R,CG62,26.32,3.33,3.42,,5,0,0,,,,,
03-19-2019,Init,1,Nanaimo,CEDAR,Calvert,Pruth,O,CG44,26.97,2.05,3.41,1.83,,0,0,,,,,
04-09-2019,Init,1,Nanaimo,CEDAR,Nanaimo,Heron,Y,CG87,27.37,3.14,3.41,1.83,,0,0,,,,,
03-19-2019,Init,1,Nanaimo,CEDAR,Calvert,Kwak,B,CG03,26.69,2.36,3.38,1.84,,0,0,,,,,
04-09-2019,Init,1,Nanaimo,CEDAR,Nanaimo,Cedar,O,CG58,28.24,2.94,3.38,1.79,,0,0,,,,,
03-19-2019,Init,1,Nanaimo,CEDAR,Calvert,Pruth,R,CG30,27.91,2.11,3.37,1.83,,0,0,,,,,
03-19-2019,Init,1,Nanaimo,CEDAR,Calvert,Pruth,O,CG07,26.67,2.21,3.37,1.98,,0,0,,,,,
04-09-2019,Init,1,Nanaimo,CEDAR,Nanaimo,Cedar,O,CG63,26.19,3.29,3.3,1.59,,0,0,,,,,
04-09-2019,Init,1,Nanaimo,CEDAR,Nanaimo,Heron,Y,CG94,27.51,3.12,3.26,1.76,,0,0,,,,,
04-09-2019,Init,1,Nanaimo,CEDAR,Nanaimo,Cedar,O,CG78,27.28,2.98,3.22,1.78,,0,0,,,,,
08-12-2019,Final,126,Nanaimo,CEDAR,Nanaimo,Heron,B,CG79,24.48,2.93,3.21,1.83,21,0,0,,,,,
08-12-2019,Final,126,Nanaimo,CEDAR,Nanaimo,Cedar,R,CG99,26.21,3.11,3.2,1.77,11,0,0,,,,,
08-12-2019,Final,126,Nanaimo,CEDAR,Nanaimo,Heron,B,CG66,25.19,2.93,3.2,1.79,12,0,0,,,,,
06-04-2019,Mid,78,Nanaimo,CEDAR,Calvert,Pruth,Y,CG18,26.26,2.57,3.18,1.75,9,0,0,,,,,
06-17-2019,Mid,70,Nanaimo,CEDAR,Nanaimo,Cedar,R,CG99,26.37,2.85,3.17,,11,0,0,,,,,
04-09-2019,Init,1,Nanaimo,CEDAR,Nanaimo,Heron,Y,CG56,25.61,3.02,3.16,1.7,,0,0,,,,,
03-19-2019,Init,1,Nanaimo,CEDAR,Calvert,Pruth,R,CG42,27.46,2.28,3.14,1.55,,0,0,,,,,
06-17-2019,Mid,70,Nanaimo,CEDAR,Nanaimo,Cedar,O,CG63,25.98,3.24,3.11,,0,0,0,,,,,
04-09-2019,Init,1,Nanaimo,CEDAR,Nanaimo,Cedar,R,CG62,25.75,2.91,3.07,1.67,,0,0,,,,,
06-17-2019,Mid,70,Nanaimo,CEDAR,Nanaimo,Heron,B,CG79,24.73,2.61,3.03,,17,0,0,,,,,
06-17-2019,Mid,70,Nanaimo,CEDAR,Nanaimo,Heron,R,CG61,22.74,2.82,2.98,,10,0,0,,,,,
08-12-2019,Final,126,Nanaimo,CEDAR,Nanaimo,Heron,R,CG61,22.67,3.02,2.98,1.07,13,0,0,,,,,
04-09-2019,Init,1,Nanaimo,CEDAR,Nanaimo,Heron,Y,CG50,25.88,3.23,2.97,1.61,,0,0,,,,,
04-09-2019,Init,1,Nanaimo,CEDAR,Nanaimo,Cedar,B,CG96,26.13,2.58,2.81,1.48,,0,0,,,,,
03-19-2019,Init,1,Nanaimo,CEDAR,Calvert,Pruth,B,CG40,24.92,2.47,2.8,1.52,,0,0,,,,,
06-17-2019,Mid,70,Nanaimo,CEDAR,Nanaimo,Heron,R,CG84,23.1,3.09,2.8,,18,0,0,,,,,
04-09-2019,Init,1,Nanaimo,CEDAR,Nanaimo,Heron,O,CG57,24.97,3.04,2.79,1.53,,0,0,,,,,
08-12-2019,Final,126,Nanaimo,CEDAR,Nanaimo,Heron,R,CG84,22.93,3.4,2.79,1.6,17,0,0,,,,,
06-17-2019,Mid,70,Nanaimo,CEDAR,Nanaimo,Cedar,Y,CG53,24.73,3.12,2.78,,0,0,0,,,,,
04-09-2019,Init,1,Nanaimo,CEDAR,Nanaimo,Cedar,Y,CG53,24.93,2.75,2.73,1.5,,0,0,,,,,
06-17-2019,Mid,70,Nanaimo,CEDAR,Nanaimo,Heron,B,CG66,24.16,2.71,2.72,,6,0,0,,,,,
08-12-2019,Final,126,Nanaimo,CEDAR,Nanaimo,Cedar,O,CG77,23.07,3.27,2.72,1.44,6,0,0,,,,,
08-12-2019,Final,126,Nanaimo,CEDAR,Nanaimo,Heron,B,CG80,22.86,2.75,2.7,1.5,21,0,0,,,,,
06-17-2019,Mid,70,Nanaimo,CEDAR,Nanaimo,Cedar,Y,CG54,23.69,3.2,2.69,,4,0,0,,,,,
03-19-2019,Init,1,Nanaimo,CEDAR,Calvert,Pruth,Y,CG46,24.27,2.53,2.68,1.49,,0,0,,,,,
08-12-2019,Final,126,Nanaimo,CEDAR,Nanaimo,Cedar,Y,CG54,23.58,3.1,2.67,1.44,1,0,0,,,,,
04-09-2019,Init,1,Nanaimo,CEDAR,Nanaimo,Cedar,B,CG89,24.47,2.6,2.65,1.44,,0,0,,,,,
03-19-2019,Init,1,Nanaimo,CEDAR,Calvert,Pruth,R,CG27,24.87,2.55,2.64,1.46,,0,0,,,,,
06-17-2019,Mid,70,Nanaimo,CEDAR,Nanaimo,Cedar,O,CG77,23.28,3.31,2.63,,5,0,0,,,,,
08-12-2019,Final,126,Nanaimo,CEDAR,Nanaimo,Cedar,Y,CG53,24.64,3.3,2.63,1.49,0,0,0,,,,,
06-17-2019,Mid,70,Nanaimo,CEDAR,Nanaimo,Cedar,R,CG73,23.18,2.59,2.6,,11,0,0,,,,,
08-12-2019,Final,126,Nanaimo,CEDAR,Nanaimo,Cedar,R,CG73,23.05,2.52,2.6,1.42,11,0,0,,,,,
03-19-2019,Init,1,Nanaimo,CEDAR,Calvert,Pruth,Y,CG18,24.51,2.35,2.53,1.39,,0,0,,,,,
04-09-2019,Init,1,Nanaimo,CEDAR,Nanaimo,Cedar,R,CG99,24.57,2.81,2.49,1.38,,0,0,,,,,
04-09-2019,Init,1,Nanaimo,CEDAR,Nanaimo,Heron,O,CG60,23.8,2.35,2.49,1.34,,0,0,,,,,
04-09-2019,Init,1,Nanaimo,CEDAR,Nanaimo,Cedar,Y,CG54,23.72,2.83,2.48,1.34,,0,0,,,,,
04-09-2019,Init,1,Nanaimo,CEDAR,Nanaimo,Heron,B,CG52,23.92,2.88,2.45,1.36,,0,0,,,,,
06-04-2019,Mid,78,Nanaimo,CEDAR,Calvert,Pruth,B,CG29,23.51,2.29,2.43,1.29,20,0,0,,,,,
08-12-2019,Final,126,Nanaimo,CEDAR,Nanaimo,Heron,O,CG90,23.16,2.32,2.42,1.33,25,0,0,,,,,
04-09-2019,Init,1,Nanaimo,CEDAR,Nanaimo,Heron,R,CG61,22.53,2.55,2.4,1.31,,0,0,,,,,
04-09-2019,Init,1,Nanaimo,CEDAR,Nanaimo,Heron,B,CG66,24.3,2.86,2.39,1.3,,0,0,,,,,
04-09-2019,Init,1,Nanaimo,CEDAR,Nanaimo,Cedar,O,CG77,23.54,3.03,2.32,1.28,,0,0,,,,,
04-09-2019,Init,1,Nanaimo,CEDAR,Nanaimo,Heron,B,CG97,22.61,2.73,2.32,1.27,,0,0,,,,,
06-17-2019,Mid,70,Nanaimo,CEDAR,Nanaimo,Heron,B,CG80,22.83,2.58,2.32,,15,0,0,,,,,
04-09-2019,Init,1,Nanaimo,CEDAR,Nanaimo,Cedar,R,CG73,21.66,2.76,1.96,1.07,,0,0,,,,,
04-09-2019,Init,1,Nanaimo,CEDAR,Nanaimo,Heron,B,CG79,22.2,2.61,1.96,1.07,,0,0,,,,,
08-12-2019,Final,126,Nanaimo,CEDAR,Nanaimo,Cedar,Y,CG82,21.39,2.22,1.92,1.06,15,0,0,,,,,
04-09-2019,Init,1,Nanaimo,CEDAR,Nanaimo,Heron,R,CG84,20.95,2.44,1.9,1.02,,0,0,,,,,
08-12-2019,Final,126,Nanaimo,CEDAR,Nanaimo,Cedar,R,CG75,21.12,2.46,1.8,0.96,8,0,0,,,,,
06-17-2019,Mid,70,Nanaimo,CEDAR,Nanaimo,Heron,Y,CG76,20.72,2.43,1.74,,8,0,0,DROPPED ITS SHELL OVERNIGHT :( SO DIDN'T RETURN,,,,
06-17-2019,Mid,70,Nanaimo,CEDAR,Nanaimo,Cedar,Y,CG82,20.95,2.24,1.72,,9,0,0,,,,,
04-09-2019,Init,1,Nanaimo,CEDAR,Nanaimo,Cedar,Y,CG74,21.62,2.59,1.7,0.92,,0,0,,,,,
06-17-2019,Mid,70,Nanaimo,CEDAR,Nanaimo,Cedar,Y,CG74,21.19,2.76,1.69,,0,0,0,,,,,
06-17-2019,Mid,70,Nanaimo,CEDAR,Nanaimo,Cedar,R,CG75,21.21,2.35,1.67,,5,0,0,,,,,
06-17-2019,Mid,70,Nanaimo,CEDAR,Nanaimo,Heron,O,CG90,20.88,2.26,1.65,,13,0,0,,,,,
08-12-2019,Final,126,Nanaimo,CEDAR,Nanaimo,Cedar,Y,CG74,21.13,2.6,1.64,0.86,0,0,0,,,,,
03-19-2019,Init,1,Nanaimo,CEDAR,Calvert,Pruth,B,CG29,18.99,2.42,1.58,0.67,,0,0,,,,,
04-09-2019,Init,1,Nanaimo,CEDAR,Nanaimo,Cedar,B,CG69,21.3,2.22,1.58,0.86,,0,0,,,,,
06-17-2019,Mid,70,Nanaimo,CEDAR,Nanaimo,Heron,R,CG83,19.13,1.89,1.52,,7,0,0,,,,,
04-09-2019,Init,1,Nanaimo,CEDAR,Nanaimo,Heron,B,CG80,20.01,2.64,1.48,0.8,,0,0,,,,,
04-09-2019,Init,1,Nanaimo,CEDAR,Nanaimo,Cedar,R,CG75,20.55,2.34,1.41,0.77,,0,0,,,,,
04-09-2019,Init,1,Nanaimo,CEDAR,Nanaimo,Cedar,Y,CG82,20.43,2.48,1.33,0.72,,0,0,,,,,
04-09-2019,Init,1,Nanaimo,CEDAR,Nanaimo,Heron,Y,CG76,19.46,2.25,1.3,0.72,,0,0,,,,,
04-09-2019,Init,1,Nanaimo,CEDAR,Nanaimo,Heron,R,CG83,18.21,2.08,1.26,0.69,,0,0,,,,,
03-19-2019,Init,1,Nanaimo,CEDAR,Calvert,Kwak,O,CG39,17.96,2.61,1.13,0.6,,0,0,,,,,
04-09-2019,Init,1,Nanaimo,CEDAR,Nanaimo,Heron,O,CG90,18.51,2.27,1.07,0.58,,0,0,,,,,
06-17-2019,Mid,70,Nanaimo,CEDAR,Calvert,,,CG**,,,,,,1,0,DIED HERMIT CRAB,,,,
06-17-2019,Mid,70,Nanaimo,CEDAR,Nanaimo,Cedar,B,CG67,,,,,,1,0,DIED HERMIT CRAB,,,,
06-17-2019,Mid,70,Nanaimo,CEDAR,Nanaimo,Cedar,B,CG89,,,,,,1,0,DIED HERMIT CRAB,,,,
06-17-2019,Mid,70,Nanaimo,CEDAR,Nanaimo,Cedar,B,CG69,,,,,,1,0,DIED HERMIT CRAB,,,,
06-17-2019,Mid,70,Nanaimo,CEDAR,Nanaimo,Heron,R,CG65,,,,,,1,0,DIED HERMIT CRAB,,,,
08-12-2019,Final,126,Nanaimo,CEDAR,Nanaimo,Cedar,O,CG63,,,,,,1,0,DIED HERMIT CRAB,,,,
08-12-2019,Final,126,Nanaimo,CEDAR,Nanaimo,Heron,R,CG83,,,,,,1,0,DIED HERMIT CRAB,,,,
08-12-2019,Final,126,Nanaimo,CEDAR,Nanaimo,Heron,R,CG59,,,,,,1,0,DIED,,,,
08-12-2019,Final,126,Nanaimo,CEDAR,Nanaimo,Heron,Y,CG56,,,,,,1,0,DIED HERMIT CRAB,,,,
08-02-2019,Final,137,Nanaimo,HERON,Calvert,Pruth,O,HB21,44.9,4.5,14.77,7.54,41,0,0,,,,,
08-02-2019,Final,137,Nanaimo,HERON,Calvert,Pruth,O,HB42,42.36,4.39,13.66,7.23,45,0,0,,,,,
08-02-2019,Final,137,Nanaimo,HERON,Calvert,Pruth,R,HB20,43.15,3.8,11.53,5.83,37,0,0,,,,,
08-02-2019,Final,137,Nanaimo,HERON,Calvert,Pruth,B,HB03,41.08,5.27,11.44,6.04,31,0,0,,,,,
08-04-2019,Final,139,Nanaimo,HERON,Calvert,Kwak,O,HB17,42.32,3.79,10.82,5.63,40,0,0,,,,,
06-04-2019,Mid,78,Nanaimo,HERON,Calvert,Pruth,O,HB21,40.99,3.2,10.8,5.47,36,0,0,,,,,
08-02-2019,Final,137,Nanaimo,HERON,Calvert,Pruth,Y,HB19,39.28,4.31,10.66,5.5,29,0,0,,,,,
08-02-2019,Final,137,Nanaimo,HERON,Calvert,Pruth,O,HB09,40.89,4.06,10.4,5.4,45,0,0,,,,,
08-02-2019,Final,137,Nanaimo,HERON,Calvert,Pruth,O,HB25,41.17,3.83,10.36,,38,0,0,,,,,
08-12-2019,Final,126,Nanaimo,HERON,Nanaimo,Heron,O,HB55,40.18,2.63,10.33,5.37,27,0,0,,,,,
06-04-2019,Mid,78,Nanaimo,HERON,Calvert,Pruth,O,HB42,38.23,3.6,10.21,5.36,29,0,0,,,,,
08-02-2019,Final,137,Nanaimo,HERON,Calvert,Pruth,R,HB47,39.64,3.74,10.14,5.21,24,0,0,,,,,
08-02-2019,Final,137,Nanaimo,HERON,Calvert,Pruth,Y,HB40,40.62,2.99,9.56,5.02,34,0,0,,,,,
08-02-2019,Final,137,Nanaimo,HERON,Calvert,Pruth,R,HB38,39.71,3.58,9.55,4.97,22,0,0,,,,,
08-02-2019,Final,137,Nanaimo,HERON,Calvert,Pruth,R,HB41,39.56,3.38,9.4,4.95,28,0,0,,,,,
06-04-2019,Mid,78,Nanaimo,HERON,Calvert,Pruth,B,HB03,38.57,4.06,9.2,4.76,22,0,0,,,,,
08-02-2019,Final,137,Nanaimo,HERON,Calvert,Pruth,B,HB11,38.63,4.12,8.88,4.49,37,0,0,,,,,
08-12-2019,Final,126,Nanaimo,HERON,Nanaimo,Heron,Y,HB65,46.48,3.57,8.84,4.61,33,0,0,,,,,
08-02-2019,Final,137,Nanaimo,HERON,Calvert,Pruth,O,HB32,40.04,3.85,8.65,4.54,53,0,0,,,,,
06-04-2019,Mid,78,Nanaimo,HERON,Calvert,Pruth,Y,HB19,36.5,3.66,8.59,4.35,19,0,0,,,,,
08-04-2019,Final,139,Nanaimo,HERON,Calvert,Kwak,O,HB28,38.4,4.03,8.44,4.41,16,0,0,,,,,
06-17-2019,Mid,70,Nanaimo,HERON,Nanaimo,Heron,O,HB55,37.77,4.23,8.31,,13,0,0,,,,,
06-04-2019,Mid,78,Nanaimo,HERON,Calvert,Pruth,O,HB25,38.37,3.57,7.96,4.04,26,0,0,,,,,
06-04-2019,Mid,78,Nanaimo,HERON,Calvert,Pruth,O,HB09,37.72,3.75,7.9,4.03,34,0,0,,,,,
08-12-2019,Final,126,Nanaimo,HERON,Nanaimo,Heron,B,HB58,36.21,4.02,7.79,4.09,15,0,0,,,,,
06-04-2019,Mid,78,Nanaimo,HERON,Calvert,Pruth,R,HB20,37.56,4.07,7.7,3.95,9,0,0,,,,,
08-02-2019,Final,137,Nanaimo,HERON,Calvert,Pruth,Y,HB10,36.6,3.48,7.66,3.97,17,0,0,,,,,
08-02-2019,Final,137,Nanaimo,HERON,Calvert,Pruth,R,HB35,35.93,3.2,7.47,3.97,35,0,0,,,,,
08-02-2019,Final,137,Nanaimo,HERON,Calvert,Pruth,B,HB43,37.61,4,7.47,3.8,35,0,0,,,,,
06-04-2019,Mid,78,Nanaimo,HERON,Calvert,Pruth,R,HB47,35.51,3.62,7.46,3.82,6,0,0,,,,,
06-05-2019,Mid,79,Nanaimo,HERON,Calvert,Kwak,O,HB17,35.57,3.06,7.39,3.75,10,0,0,,,,,
08-12-2019,Final,126,Nanaimo,HERON,Nanaimo,Heron,R,HB87,33.56,3.59,7.37,4.03,22,0,0,,,,,
06-17-2019,Mid,70,Nanaimo,HERON,Nanaimo,Heron,B,HB58,35.65,4.45,7.35,,12,0,0,,,,,
08-04-2019,Final,139,Nanaimo,HERON,Calvert,Kwak,Y,HB01,34.7,3.3,7.31,3.8,7,0,0,,,,,
06-05-2019,Mid,79,Nanaimo,HERON,Calvert,Kwak,Y,HB01,34.64,3.59,7.28,3.85,6,0,0,,,,,
08-04-2019,Final,139,Nanaimo,HERON,Calvert,Kwak,Y,HB36,34.8,3.01,7.27,3.86,6,0,0,,,,,
06-05-2019,Mid,79,Nanaimo,HERON,Calvert,Kwak,O,HB28,36.39,3.75,7.21,3.57,6,0,0,,,,,
08-04-2019,Final,139,Nanaimo,HERON,Calvert,Kwak,B,HB29,35.84,2.62,7.21,3.68,6,0,0,,,,,
06-05-2019,Mid,79,Nanaimo,HERON,Calvert,Kwak,Y,HB27,35.23,3.34,7.19,3.81,6,0,0,,,,,
06-05-2019,Mid,79,Nanaimo,HERON,Calvert,Kwak,B,HB29,35.41,2.67,7.17,3.58,3,0,0,,,,,
06-17-2019,Mid,70,Nanaimo,HERON,Nanaimo,Cedar,R,HB92,36.1,3.66,7.15,,9,0,0,,,,,
08-04-2019,Final,139,Nanaimo,HERON,Calvert,Kwak,Y,HB27,34.92,3.33,7.15,3.82,6,0,0,,,,,
08-04-2019,Final,139,Nanaimo,HERON,Calvert,Kwak,O,HB44,35.16,3.42,7.14,3.71,7,0,0,,,,,
06-05-2019,Mid,79,Nanaimo,HERON,Calvert,Kwak,O,HB44,35.26,3.41,7.11,3.57,6,0,0,,,,,
08-02-2019,Final,137,Nanaimo,HERON,Calvert,Pruth,O,HB30,34.54,3.05,7.11,3.83,43,0,0,,,,,
08-02-2019,Final,137,Nanaimo,HERON,Calvert,Pruth,Y,HB46,37.18,3.1,7.09,3.66,28,0,0,,,,,
04-09-2019,Init,1,Nanaimo,HERON,Nanaimo,Heron,O,HB55,35.8,1.71,6.93,3.5,,0,0,,,,,
06-04-2019,Mid,78,Nanaimo,HERON,Calvert,Pruth,R,HB38,35.75,3.76,6.9,2.03,15,0,0,,,,,
06-04-2019,Mid,78,Nanaimo,HERON,Calvert,Pruth,B,HB11,35.58,3.3,6.88,3.38,26,0,0,,,,,
03-19-2019,Init,1,Nanaimo,HERON,Calvert,Pruth,O,HB42,31.25,4.52,6.87,3.6,,0,0,,,,,
06-04-2019,Mid,78,Nanaimo,HERON,Calvert,Pruth,R,HB41,34.33,3.79,6.84,3.63,9,0,0,,,,,
06-17-2019,Mid,70,Nanaimo,HERON,Nanaimo,Heron,R,HB87,33.67,3.19,6.79,,19,0,0,,,,,
08-12-2019,Final,126,Nanaimo,HERON,Nanaimo,Cedar,O,HB59,33.14,4.52,6.77,3.52,13,0,0,,,,,
03-19-2019,Init,1,Nanaimo,HERON,Calvert,Kwak,B,HB29,35.09,2.41,6.72,3.28,,0,0,,,,,
06-04-2019,Mid,78,Nanaimo,HERON,Calvert,Pruth,Y,HB40,33.48,3.89,6.71,3.56,9,0,0,,,,,
06-17-2019,Mid,70,Nanaimo,HERON,Nanaimo,Cedar,R,HB89,34.53,3.96,6.71,,8,0,0,,,,,
06-05-2019,Mid,79,Nanaimo,HERON,Calvert,Kwak,Y,HB36,34.07,2.49,6.69,3.44,0,0,0,,,,,
06-17-2019,Mid,70,Nanaimo,HERON,Nanaimo,Cedar,Y,HB98,33.45,4.23,6.69,,7,0,0,,,,,
08-12-2019,Final,126,Nanaimo,HERON,Nanaimo,Heron,O,HB75,32.84,3.14,6.68,3.49,26,0,0,,,,,
06-17-2019,Mid,70,Nanaimo,HERON,Nanaimo,Heron,Y,HB65,44,3.88,6.64,,19,0,0,,,,,
06-05-2019,Mid,79,Nanaimo,HERON,Calvert,Kwak,R,HB22,32.18,3.27,6.6,3.36,16,0,0,,,,,
08-04-2019,Final,139,Nanaimo,HERON,Calvert,Kwak,R,HB22,31.99,2.98,6.48,3.43,13,0,0,,,,,
03-19-2019,Init,1,Nanaimo,HERON,Calvert,Pruth,R,HB47,34.13,1.44,6.47,3.32,,0,0,,,,,
08-04-2019,Final,139,Nanaimo,HERON,Calvert,Kwak,O,HB24,35.34,3.06,6.43,3.35,31,0,0,,,,,
08-02-2019,Final,137,Nanaimo,HERON,Calvert,Pruth,Y,HB23,34.9,3.22,6.42,3.33,4,0,0,,,,,
08-12-2019,Final,126,Nanaimo,HERON,Nanaimo,Cedar,O,HB53,36.6,4.25,6.42,3.22,7,0,0,,,,,
03-19-2019,Init,1,Nanaimo,HERON,Calvert,Kwak,Y,HB36,34.86,1.64,6.38,3.18,,0,0,,,,,
03-19-2019,Init,1,Nanaimo,HERON,Calvert,Kwak,Y,HB01,33.66,2.08,6.37,3.08,,0,0,,,,,
08-12-2019,Final,126,Nanaimo,HERON,Nanaimo,Cedar,B,HB91,33.78,4.17,6.37,3.23,5,0,0,,,,,
03-19-2019,Init,1,Nanaimo,HERON,Calvert,Kwak,Y,HB27,34.07,1.62,6.35,3.29,,0,0,,,,,
03-19-2019,Init,1,Nanaimo,HERON,Calvert,Pruth,Y,HB19,33.14,1.72,6.35,3.13,,0,0,,,,,
06-17-2019,Mid,70,Nanaimo,HERON,Nanaimo,Cedar,Y,HB67,33.66,3.7,6.35,,12,0,0,,,,,
06-17-2019,Mid,70,Nanaimo,HERON,Nanaimo,Cedar,B,HB91,34.2,4.06,6.3,,4,0,0,,,,,
03-19-2019,Init,1,Nanaimo,HERON,Calvert,Pruth,B,HB03,33.66,1.45,6.23,3.15,,0,0,,,,,
06-17-2019,Mid,70,Nanaimo,HERON,Nanaimo,Cedar,O,HB53,36.64,4.09,6.2,,5,0,0,,,,,
08-02-2019,Final,137,Nanaimo,HERON,Calvert,Pruth,B,HB26,32.59,3.69,6.19,3.23,17,0,0,,,,,
03-19-2019,Init,1,Nanaimo,HERON,Calvert,Pruth,O,HB21,33.24,1.72,6.18,3.26,,0,0,,,,,
08-12-2019,Final,126,Nanaimo,HERON,Nanaimo,Heron,Y,HB79,31.35,2.29,6.14,3.25,25,0,0,,,,,
08-02-2019,Final,137,Nanaimo,HERON,Calvert,Pruth,B,HB37,34.32,3.44,6.09,3.21,30,0,0,,,,,
08-12-2019,Final,126,Nanaimo,HERON,Nanaimo,Heron,Y,HB84,31.9,3.06,6.09,3.23,11,0,0,,,,,
06-17-2019,Mid,70,Nanaimo,HERON,Nanaimo,Heron,R,HB94,33.07,3.78,6.08,,10,0,0,,,,,
