Site,Submersed weight,Dry shell weight
Pruth,2.31,3.78
Pruth,1.87,3.16
Pruth,1.27,2.19
Pruth,0.86,1.43
Pruth,0.83,1.4
Pruth,1.56,2.48
Pruth,1.94,3.14
Pruth,3.57,5.37
Pruth,1.09,1.77
Pruth,2.15,3.62
Pruth,0.76,1.44
Pruth,3.04,4.95
Pruth,1.29,2.25
Pruth,1.41,2.44
Pruth,0.75,1.32
Pruth,1.5,2.55
Pruth,2.53,4.24
Pruth,0.67,1.18
Pruth,0.91,1.59
Pruth,1.95,3.25
Pruth,1.48,2.5
Pruth,1.35,2.33
Pruth,1,1.79
Pruth,4.09,6.64
Pruth,3.29,5.38
Pruth,1.25,2.13
Pruth,0.88,1.48
Pruth,1.04,1.8
Pruth,1.39,2.23
Pruth,2.04,3.49
Pruth,2.43,4.05
Pruth,1.04,1.85
Pruth,1.9,3.16
Pruth,1.52,2.66
Pruth,0.42,0.82
Pruth,1.11,1.86
Pruth,1.58,2.7
Pruth,1.89,3.24
Pruth,1.78,2.19
Pruth,1.31,2.3
Pruth,0.8,1.47
Pruth,3.33,5.51
Pruth,1.24,2.15
Pruth,1.48,2.44
Pruth,0.89,1.47
Pruth,1.23,2.14
Pruth,1.24,2.13
Pruth,3.62,6.13
Pruth,0.71,1.2
Pruth,0.09,0.19
Pruth,1.46,2.41
Pruth,2.08,3.42
Pruth,1.2,2.04
Kwak,2.78,4.44
Kwak,2.39,3.8
Kwak,3,4.77
Kwak,1.49,2.56
Kwak,1.65,2.8
Kwak,0.17,0.34
Kwak,0.46,0.79
Kwak,3.86,6.16
Kwak,1.54,2.57
Kwak,0.51,0.89
Kwak,2.59,4.19
Kwak,0.25,0.38
Kwak,1.12,1.91
Kwak,2.22,3.69
Kwak,1.61,2.75
Kwak,0.9,1.66
Kwak,1.55,2.65
Kwak,0.38,0.67
Kwak,0.8,1.41
Kwak,1.1,1.77
Kwak,0.4,0.73
Kwak,0.29,0.56
Kwak,2.28,3.76
Kwak,3.03,4.99
Kwak,0.22,0.45
Kwak,2.48,4.17
Kwak,0.3,0.5
Kwak,1.04,1.79
Kwak,1.2,1.77
Kwak,0.31,0.53
Kwak,1.78,2.95
Kwak,0.35,0.58
Kwak,2.85,4.71
Kwak,0.35,0.62
Kwak,1.4,2.28
Kwak,0.23,0.4
Kwak,1.04,1.79
Kwak,0.27,0.43
Kwak,1.76,2.8
Kwak,0.34,0.53
Kwak,1.36,2.14
Kwak,1.96,3.05
Kwak,0.21,0.4
Kwak,1.78,2.79
Kwak,0.23,0.43
Kwak,2.52,3.95
Kwak,0.32,0.65
Kwak,0.23,0.41
Kwak,1.35,2.11
Kwak,0.27,0.53
Cedar,2.68,4.3
Cedar,1.22,1.9
Cedar,4.28,6.9
Cedar,0.79,1.2
Cedar,9.06,15
Cedar,0.37,0.5
Cedar,11.39,18.7
Cedar,5.16,8.3
Cedar,3.97,6.6
Cedar,4.35,7.1
Cedar,10.8,16.9
Cedar,1.23,2.3
Cedar,0.73,1.3
Cedar,11.75,19.3
Cedar,0.97,1.5
Cedar,6.34,10.5
Cedar,15.8,25.2
Cedar,10.07,15.9
Cedar,0.71,1
Cedar,1.03,1.8
Cedar,8.37,13.7
Cedar,13.65,22.3
Cedar,0.32,0.4
Cedar,1.2,2.1
Cedar,10.14,16.4
Cedar,7.73,12.7
Cedar,0.68,1.1
Cedar,2.73,4.7
Cedar,1,1.6
Cedar,2.56,4.3
Cedar,11.03,17.4
Cedar,15.07,23.9
Cedar,1.95,3.5
Cedar,0.68,1.1
Cedar,3.37,5.8
Cedar,1.02,1.6
Cedar,0.77,1.2
Cedar,5.05,8.1
Cedar,0.65,1.1
Cedar,12.8,21
Cedar,10.16,16.1
Cedar,0.67,1
Cedar,0.53,0.8
Cedar,0.58,0.9
Cedar,0.43,0.5
Cedar,0.7,1.1
Cedar,0.65,0.9
Cedar,0.51,0.7
Cedar,9.95,15.8
Cedar,0.84,1.2
Heron,4.76,7.6
Heron,5.18,8.8
Heron,5.42,8.8
Heron,7.78,12.7
Heron,4.99,8.3
Heron,1.55,2.5
Heron,1.27,2.1
Heron,0.7,1.3
Heron,9.2,14.7
Heron,8.24,13.7
Heron,5.61,9.3
Heron,6.81,11.3
Heron,0.91,1.8
Heron,7.57,11.3
Heron,5.18,8.4
Heron,4.83,8
Heron,1.16,1.8
Heron,1.3,2.2
Heron,5.69,9.2
Heron,2.78,4.3
Heron,5.57,8.8
Heron,5.97,9.8
Heron,0.86,1.2
Heron,5.87,9.3
Heron,1,0.5
Heron,4.64,7.4
Heron,0.92,1.1
Heron,4.16,6.6
Heron,8.49,13.8
Heron,7.8,12.3
Heron,7.62,12
Heron,5.64,8.7
Heron,5.57,8.4
Heron,2.05,3.2
Heron,8.11,13
Heron,4.98,7.6
Heron,1.03,1.4
Heron,4.84,7.8
Heron,6.35,9.8
Heron,2.3,3.5
Heron,1.68,2.6
Heron,9.4,14.8
Heron,8.13,12.8
Heron,5.55,8.5
Heron,4.53,7.1
Heron,5.65,8.6
Heron,5.23,7.9
Heron,5.51,8.5
Heron,6.17,9.4
Heron,7.47,12